url,condition,car,price
www.cars.com/vehicledetail/d8489c23-d53e-49c0-9a69-cef96a621447/,Used,1991 Ferrari Testarossa,$138500
www.cars.com/vehicledetail/e35a06ca-e52d-4cf4-a77e-1e8db40a4e9b/,Used,1986 Ferrari Testarossa,$239000
www.cars.com/vehicledetail/e02dc00a-b4be-43c5-838a-4a49be495d0d/,Ferrari Certified,2017 Ferrari 488 Spider Base,$354900
www.cars.com/vehicledetail/96324382-d1bf-43bd-be46-d69aeab412b7/,Used,1999 Ferrari 550 Maranello,$275000
www.cars.com/vehicledetail/1c4db454-ce6b-4f21-b0e5-4d9474dc559b/,Used,2012 Ferrari FF Base,$149800
www.cars.com/vehicledetail/727266cf-15d3-4543-96e1-ab1efa82690c/,Used,2008 Ferrari F430 Spider,$134499
www.cars.com/vehicledetail/38a45ed2-cfab-46fb-bac5-bddd4aa4f87e/,Ferrari Certified,2011 Ferrari 458 Italia Base,$257400
www.cars.com/vehicledetail/d5f3d4e4-c523-421b-9baa-10ab9c7a8b7c/,Used,2016 Ferrari 488 Spider Base,$329800
www.cars.com/vehicledetail/767cdf88-67cf-45ed-afbb-73eb2036e634/,Used,2016 Ferrari F12berlinetta Base,$319900
www.cars.com/vehicledetail/d9ce7391-883f-4ae7-ba6e-ffa9ea0a827b/,Ferrari Certified,2011 Ferrari 458 Italia Base,$269900
www.cars.com/vehicledetail/f1324e46-6f59-4801-8401-aa476b44d557/,Used,2015 Ferrari FF Base,$169990
www.cars.com/vehicledetail/0a680161-8b61-431d-849a-49f1d7c1be9e/,Used,2000 Ferrari 360 Modena,$79995
www.cars.com/vehicledetail/f92f3fb2-960f-4b72-ae88-dd18f78b7303/,Used,1991 Ferrari Testarossa,$249800
www.cars.com/vehicledetail/398b294d-f480-4c98-be7b-ed373b629ea5/,Used,2017 Ferrari 488 GTB,$286900
www.cars.com/vehicledetail/6105380e-2f2d-4b66-82ee-24d0a46f9b4d/,Ferrari Certified,2017 Ferrari 488 Spider Base,$369900
